python main.py ./simulatedPlanets/example-sim-model_Rp_loguP ./simulatedPlanets/fake_grammaticalSystems_Rp_loguP.txt --num_planet_features 2 --num_stellar_features 0 --num_labels 3 --batch_size 100 --epochs 500 --width 2 --seed 128 --dropout_prob 0.05 --train

Random seed: 128
-----------------------------------------------------------------------------------------
[DATA]
   data:          ./simulatedPlanets/fake_grammaticalSystems_Rp_loguP.txt
   # planets:     37654
-----------------------------------------------------------------------------------------
[TRAINING]
   num_labels:    3
   batch_size:    100
   lr:            0.002
   epochs:        500

| epoch 283 | loss -0.642607231829 | 0.927086266600 bits | time 0:00:01   
| epoch 284 | loss -0.644658113664 | 0.930045063652 bits | time 0:00:01   
| epoch 285 | loss -0.644689736695 | 0.930090686042 bits | time 0:00:01   
| epoch 286 | loss -0.643373635783 | 0.928191953783 bits | time 0:00:01   
| epoch 287 | loss -0.647878842265 | 0.934691592833 bits | time 0:00:01   
| epoch 288 | loss -0.645784971885 | 0.931670776419 bits | time 0:00:01   
| epoch 289 | loss -0.647428138977 | 0.934041365434 bits | time 0:00:01   
| epoch 290 | loss -0.647426303565 | 0.934038717494 bits | time 0:00:01   
| epoch 291 | loss -0.647562327689 | 0.934234958823 bits | time 0:00:01   
| epoch 292 | loss -0.651236001946 | 0.939534950455 bits | time 0:00:01   
| epoch 293 | loss -0.652307469902 | 0.941080751962 bits | time 0:00:01   
| epoch 294 | loss -0.647221341690 | 0.933743020013 bits | time 0:00:01   
| epoch 295 | loss -0.647354320126 | 0.933934867344 bits | time 0:00:01   
| epoch 296 | loss -0.651311330043 | 0.939643625927 bits | time 0:00:01   
| epoch 297 | loss -0.653128694792 | 0.942265529039 bits | time 0:00:01   
| epoch 298 | loss -0.657022735484 | 0.947883442235 bits | time 0:00:01   
| epoch 299 | loss -0.658139657595 | 0.949494820224 bits | time 0:00:01   
| epoch 300 | loss -0.649634246801 | 0.937224106251 bits | time 0:00:01   
| epoch 301 | loss -0.654881229135 | 0.944793901644 bits | time 0:00:01   
| epoch 302 | loss -0.652236839030 | 0.940978853154 bits | time 0:00:01   
| epoch 303 | loss -0.653397062729 | 0.942652702131 bits | time 0:00:01   
| epoch 304 | loss -0.652340419729 | 0.941128288514 bits | time 0:00:01   
| epoch 305 | loss -0.651853359663 | 0.940425609372 bits | time 0:00:01   
| epoch 306 | loss -0.657657084478 | 0.948798614381 bits | time 0:00:01   
| epoch 307 | loss -0.652571106147 | 0.941461098665 bits | time 0:00:01   
| epoch 308 | loss -0.658580005643 | 0.950130108170 bits | time 0:00:01   
| epoch 309 | loss -0.656843154753 | 0.947624362004 bits | time 0:00:01   
| epoch 310 | loss -0.655703259716 | 0.945979841087 bits | time 0:00:01   
| epoch 311 | loss -0.657715764855 | 0.948883272271 bits | time 0:00:01   
| epoch 312 | loss -0.661095749162 | 0.953759558869 bits | time 0:00:01   
| epoch 313 | loss -0.654501561145 | 0.944246156517 bits | time 0:00:01   
| epoch 314 | loss -0.656045980574 | 0.946474282769 bits | time 0:00:01   
| epoch 315 | loss -0.660839841125 | 0.953390361614 bits | time 0:00:01   
| epoch 316 | loss -0.655434247037 | 0.945591737829 bits | time 0:00:01   
| epoch 317 | loss -0.652824696717 | 0.941826952523 bits | time 0:00:01   
