# kepid innerPlanetIdx outerPlanetIdx amin amax Pmin Pmax mmax Rpmax Rpmax_uerr Rpmax_lerr rormax rormax_uerr rormax_lerr
5301750 3 5 0.107200 0.245100 12.882914 44.552027 1600.093970 12.835601 2.256391 2.190544 0.103928 0.018270 0.017736
5358241 0 2 0.004897 0.139000 0.123562 18.649327 159661.738858 54.481893 5.057024 6.131469 0.473807 0.043979 0.053323
5358241 1 3 0.090200 0.225500 9.751921 38.557655 2241.996700 12.336373 2.790523 1.720549 0.107284 0.024268 0.014963
5364071 0 2 0.002507 0.059500 0.062316 7.203856 80769.356767 28.991493 3.710434 2.371764 0.492560 0.063040 0.040296
5364071 1 3 0.030000 0.078500 2.576571 10.912741 1360.144895 12.860652 2.537230 1.545437 0.218500 0.043107 0.026257
5364071 2 4 0.059500 0.112000 7.203856 18.596115 396.873402 13.622358 2.734255 2.126420 0.231441 0.046454 0.036127
5371776 0 2 0.003213 0.039200 0.076318 3.295701 89248.117230 33.004787 3.667793 3.498063 0.437397 0.048608 0.046358
5371776 1 3 0.023200 0.053900 1.499144 5.315954 1304.921192 12.479221 2.020621 1.661526 0.165381 0.026778 0.022019
5371776 2 4 0.039200 0.080300 3.295701 9.653490 806.961367 13.460843 2.294324 1.963281 0.178390 0.030406 0.026018
5374854 0 2 0.005883 0.161800 0.165046 23.783210 154106.339583 52.172121 5.716748 3.147695 0.377681 0.041384 0.022787
5384079 0 2 0.006520 0.141200 0.171367 17.265366 183457.637318 60.915043 6.467914 5.536998 0.397882 0.042247 0.036166
5436502 0 2 0.006436 0.067600 0.181220 6.155603 117402.514743 40.824441 5.003565 3.186241 0.270123 0.033107 0.021082
5436502 1 3 0.032900 0.112600 2.090811 13.233522 5518.221115 12.363857 2.661249 1.720560 0.081808 0.017609 0.011384
5436502 2 4 0.067600 0.165800 6.155603 23.653694 2205.186477 12.528428 2.549291 1.969750 0.082897 0.016868 0.013033
5436502 3 5 0.112600 0.274700 13.233522 50.446742 2188.845554 12.622065 1.856825 1.731761 0.083516 0.012286 0.011459
5437945 0 2 0.006478 1.145500 0.187549 440.784376 191592.969205 62.721116 5.634758 5.363781 0.412325 0.037043 0.035261
5438099 0 2 0.003353 0.067200 0.080603 7.240224 110284.736419 39.716512 3.717162 3.736367 0.504444 0.047212 0.047456
5438099 1 3 0.050000 0.120300 4.646224 17.326704 1495.704459 12.701958 2.734852 2.470191 0.161329 0.034736 0.031374
5438099 2 4 0.067200 0.226800 7.240224 44.841117 3816.564696 12.175786 2.616064 1.878325 0.154646 0.033227 0.023857
5438757 0 2 0.005023 0.302000 0.135097 62.922494 161130.381207 54.936499 6.136381 5.730776 0.465816 0.052031 0.048592
5456651 0 2 0.003516 0.270700 0.082632 56.227927 150996.600298 51.264527 5.893772 5.058647 0.620973 0.071392 0.061276
5480640 0 2 0.005357 0.169000 0.150797 26.675782 143376.694619 49.443579 4.268846 4.907161 0.393038 0.033934 0.039008
5480640 1 3 0.112200 0.283800 14.425263 58.033743 2046.970659 12.392395 1.557165 1.622126 0.098510 0.012378 0.012895
5511081 0 2 0.007873 0.115400 0.244843 13.727103 138571.515569 48.137374 5.305984 4.162198 0.260377 0.028700 0.022514
5511081 1 3 0.089300 0.169000 9.341459 24.311003 820.821243 13.036593 2.812011 2.075942 0.070515 0.015210 0.011229
5511081 2 4 0.115400 0.252600 13.727103 44.430406 1502.887546 12.733811 1.765290 1.987923 0.068878 0.009549 0.010753
5511659 0 2 0.005167 0.127800 0.140126 17.236085 141333.487740 47.617625 6.724373 4.015004 0.392492 0.055426 0.033094
5531576 0 2 0.003623 0.071200 0.091412 7.953547 107508.145113 37.698264 5.056928 2.978422 0.443161 0.059447 0.035013
5531694 0 2 0.006553 0.078000 0.197410 8.113468 111719.296353 40.033895 5.065952 4.307173 0.260192 0.032925 0.027994
5542466 0 2 0.003776 0.051000 0.095901 4.746661 96221.007603 33.791466 3.334359 2.259398 0.381091 0.037604 0.025481
5542466 1 3 0.031900 0.099200 2.355745 12.890067 3162.471542 12.244109 2.555221 1.843985 0.138086 0.028817 0.020796
5613330 0 2 0.007087 0.176400 0.188959 23.449705 200912.941797 66.722119 7.476427 6.426543 0.400924 0.044925 0.038616
5621333 0 2 0.006287 0.179000 0.178724 27.096515 161637.638830 54.636141 5.456533 4.926848 0.370067 0.036959 0.033371
5640085 0 2 0.002325 0.195300 0.056735 43.585942 93261.543243 34.110436 2.264652 2.946401 0.624733 0.041477 0.053963
5688683 0 2 0.002804 0.045600 0.067376 4.449023 86109.150735 31.757535 2.745981 2.492215 0.482288 0.041702 0.037848
5689351 0 2 0.003534 0.061400 0.085481 6.195460 109670.313795 39.303034 4.156327 3.409234 0.473576 0.050081 0.041079
5689351 1 3 0.040000 0.075000 3.250582 8.348192 585.067319 13.127494 2.994195 1.646231 0.158178 0.036078 0.019836
5689351 2 4 0.061400 0.104600 6.195460 13.767101 356.262128 13.967354 2.338380 2.116091 0.168298 0.028176 0.025498
5689351 3 5 0.075000 0.357900 8.348192 87.091259 7970.187751 11.935326 1.831752 1.869663 0.143813 0.022071 0.022528
5706595 0 2 0.004437 0.137400 0.110443 19.023136 151266.602051 52.701367 4.558670 6.068356 0.505884 0.043759 0.058251
5706595 1 3 0.053200 0.545400 4.579482 150.381954 26418.107355 11.394815 1.185128 1.415028 0.109380 0.011376 0.013583
5706966 0 2 0.002781 0.138400 0.068637 24.088418 103792.573506 38.266729 3.707338 3.996961 0.586000 0.056773 0.061208
5709725 0 2 0.004176 0.357600 0.109182 86.494370 146091.227400 49.892057 5.368539 4.117486 0.508783 0.054747 0.041989
5735762 0 2 0.004060 0.084500 0.102118 9.673958 123332.474853 42.877789 4.569269 3.917979 0.449775 0.047930 0.041098
5735762 1 3 0.052800 0.227900 4.778003 42.896450 7060.013095 11.982044 2.393408 2.015866 0.125688 0.025106 0.021146
5769810 0 2 0.013156 0.100500 0.425598 8.973772 146337.232318 50.870484 4.180026 5.168254 0.164668 0.013531 0.016730
5791986 0 2 0.003776 0.158900 0.090449 24.674582 146373.511704 50.943150 5.227070 4.714828 0.574523 0.058949 0.053173
5792202 0 2 0.003799 0.117900 0.088888 15.335287 146711.317671 50.863175 5.757351 5.551178 0.570110 0.064532 0.062221
5792202 1 3 0.066800 0.189800 6.546261 31.330461 2937.617946 12.673033 2.566298 1.814650 0.142048 0.028765 0.020340
5792202 2 4 0.117900 0.796500 15.335287 269.306232 15600.655566 11.695806 2.564138 2.072790 0.131095 0.028741 0.023233
