# kepid innerPlanetIdx outerPlanetIdx amin amax Pmin Pmax mmax Rpmax Rpmax_uerr Rpmax_lerr
3642289 1 2 0.069700 0.107200 6.002548 11.448658 294.529362 13.644759 2.243963 2.063439
3642335 0 1 0.002428 0.246500 214098.767036 60.866097 97686.423064 35.253870 3.394176 2.879382
3642741 0 1 0.004278 0.073600 366678.583528 7.258450 136384.911529 47.082935 5.495638 4.216715
3645438 0 1 0.003878 0.068900 350974.220754 7.298142 112156.101526 39.929684 3.518578 3.861844
3645438 1 2 0.068900 0.122800 7.298142 17.369511 460.616801 13.600346 2.074363 2.075244
3645438 2 3 0.122800 0.971200 17.369511 386.370512 16888.981643 11.654999 1.585946 1.854504
3646449 0 1 0.004790 0.323900 425780.032291 65.752109 184212.053852 61.268686 6.174826 5.014242
3647097 0 1 0.005139 0.304800 472895.923253 59.965517 182111.158024 61.346298 6.375096 6.755350
3648437 0 1 0.006180 0.128900 661073.036723 17.504417 134502.822086 47.336362 4.923795 3.747057
3656121 0 1 0.005371 0.194800 513502.721411 31.158825 165382.905051 56.133153 4.994333 5.248396
3656121 1 2 0.194800 0.355300 31.158825 76.732456 636.369112 13.243707 1.950758 1.944733
3657758 0 1 0.004037 0.034400 343454.521830 2.370293 91273.528342 33.899765 2.934709 3.814107
3657758 1 2 0.034400 0.045500 2.370293 3.609313 53.474162 8.214840 3.894249 2.535134
3660924 0 1 0.004869 0.049100 477330.065837 4.241536 92611.097728 34.336150 3.034367 3.858444
3661886 0 1 0.005506 0.106500 529840.468597 12.509458 144758.315468 49.584491 5.603766 3.831393
3661886 1 2 0.106500 0.177900 12.509458 27.014262 406.013173 13.544753 1.833063 1.671165
3728432 0 1 0.003037 0.041800 275119.983765 3.908635 79388.046911 29.487220 3.084912 2.060572
3728701 0 1 0.005148 0.270500 484218.295697 51.131935 172375.338410 57.660295 6.602244 5.160975
3732035 0 1 0.005185 0.532900 480247.205126 138.944022 189343.389011 63.568497 5.295910 5.518791
